Region,Sub-region,Country,Indicator,Year,Count,Rate
Europe,Northern Europe,Iceland,Mortality: Death by accident or other causes,2014,0,0
Europe,Northern Europe,Lithuania,Mortality: Death by accident or other causes,2014,0,0
Europe,Northern Europe,Sweden,Mortality: Death by accident or other causes,2014,1,17.220595833
Europe,Southern Europe,Serbia,Mortality: Death by accident or other causes,2014,1,9.720062208
Europe,Eastern Europe,Bulgaria,Mortality: Death by accident or other causes,2015,0,0
Europe,Eastern Europe,Czechia,Mortality: Death by accident or other causes,2015,0,0
Europe,Eastern Europe,Poland,Mortality: Death by accident or other causes,2015,3,4.126831281
Europe,Eastern Europe,Republic of Moldova,Mortality: Death by accident or other causes,2015,0,0
Europe,Eastern Europe,Russian Federation,Mortality: Death by accident or other causes,2015,186,28.788781662
Europe,Northern Europe,Iceland,Mortality: Death by accident or other causes,2015,0,0
Europe,Northern Europe,Lithuania,Mortality: Death by accident or other causes,2015,0,0
Europe,Northern Europe,Sweden,Mortality: Death by accident or other causes,2015,1,17.571604287
Europe,Southern Europe,Albania,Mortality: Death by accident or other causes,2015,0,0
Europe,Southern Europe,Greece,Mortality: Death by accident or other causes,2015,11,114.452190199
Europe,Southern Europe,Serbia,Mortality: Death by accident or other causes,2015,1,9.936406995
Europe,Southern Europe,Spain,Mortality: Death by accident or other causes,2015,39,63.297302561
Europe,Western Europe,Germany,Mortality: Death by accident or other causes,2015,1,1.586797842
Europe,Eastern Europe,Bulgaria,Mortality: Death by accident or other causes,2016,0,0
Europe,Eastern Europe,Czechia,Mortality: Death by accident or other causes,2016,0,0
Europe,Eastern Europe,Hungary,Mortality: Death by accident or other causes,2016,2,11.326311021
Europe,Eastern Europe,Poland,Mortality: Death by accident or other causes,2016,6,8.309213533
Europe,Eastern Europe,Republic of Moldova,Mortality: Death by accident or other causes,2016,0,0
Europe,Eastern Europe,Russian Federation,Mortality: Death by accident or other causes,2016,239,37.927176647
Europe,Eastern Europe,Slovakia,Mortality: Death by accident or other causes,2016,0,0
Europe,Northern Europe,Denmark,Mortality: Death by accident or other causes,2016,1,29.342723005
Europe,Northern Europe,Iceland,Mortality: Death by accident or other causes,2016,0,0
Europe,Northern Europe,Latvia,Mortality: Death by accident or other causes,2016,1,23.568230026
Europe,Northern Europe,Lithuania,Mortality: Death by accident or other causes,2016,0,0
Europe,Northern Europe,Sweden,Mortality: Death by accident or other causes,2016,0,0
Europe,Northern Europe,United Kingdom (England and Wales),Mortality: Death by accident or other causes,2016,21,25.118415387
Europe,Southern Europe,Albania,Mortality: Death by accident or other causes,2016,0,0
Europe,Southern Europe,Andorra,Mortality: Death by accident or other causes,2016,1,2173.913043478
Europe,Southern Europe,Greece,Mortality: Death by accident or other causes,2016,2,20.920502092
Europe,Southern Europe,Montenegro,Mortality: Death by accident or other causes,2016,0,0
Europe,Southern Europe,Serbia,Mortality: Death by accident or other causes,2016,3,28.110944528
Europe,Southern Europe,Slovenia,Mortality: Death by accident or other causes,2016,0,0
Europe,Southern Europe,Spain,Mortality: Death by accident or other causes,2016,41,68.804645153
Europe,Western Europe,Germany,Mortality: Death by accident or other causes,2016,2,3.110855330
Europe,Western Europe,Liechtenstein,Mortality: Death by accident or other causes,2016,0,0
Europe,Western Europe,Luxembourg,Mortality: Death by accident or other causes,2016,0,0
Europe,Western Europe,Monaco,Mortality: Death by accident or other causes,2016,0,0
Europe,Eastern Europe,Bulgaria,Mortality: Death by accident or other causes,2017,0,0
Europe,Eastern Europe,Czechia,Mortality: Death by accident or other causes,2017,0,0
Europe,Eastern Europe,Hungary,Mortality: Death by accident or other causes,2017,0,0
Europe,Eastern Europe,Republic of Moldova,Mortality: Death by accident or other causes,2017,0,0
Europe,Eastern Europe,Romania,Mortality: Death by accident or other causes,2017,1,4.264392324
Europe,Eastern Europe,Russian Federation,Mortality: Death by accident or other causes,2017,227,37.696620257
Europe,Eastern Europe,Slovakia,Mortality: Death by accident or other causes,2017,0,0
Europe,Northern Europe,Finland,Mortality: Death by accident or other causes,2017,0,0
Europe,Northern Europe,Iceland,Mortality: Death by accident or other causes,2017,0,0
Europe,Northern Europe,Latvia,Mortality: Death by accident or other causes,2017,1,26.560424967
Europe,Northern Europe,Lithuania,Mortality: Death by accident or other causes,2017,0,0
Europe,Northern Europe,Sweden,Mortality: Death by accident or other causes,2017,0,0
Europe,Northern Europe,United Kingdom (England and Wales),Mortality: Death by accident or other causes,2017,31,36.712023780
Europe,Southern Europe,Albania,Mortality: Death by accident or other causes,2017,0,0
Europe,Southern Europe,Greece,Mortality: Death by accident or other causes,2017,5,49.945060434
Europe,Southern Europe,Serbia,Mortality: Death by accident or other causes,2017,0,0
Europe,Southern Europe,Slovenia,Mortality: Death by accident or other causes,2017,0,0
Europe,Southern Europe,Spain,Mortality: Death by accident or other causes,2017,30,51.008263339
Europe,Western Europe,Germany,Mortality: Death by accident or other causes,2017,0,0
Europe,Western Europe,Liechtenstein,Mortality: Death by accident or other causes,2017,0,0
Europe,Western Europe,Luxembourg,Mortality: Death by accident or other causes,2017,0,0
Europe,Eastern Europe,Bulgaria,Mortality: Death by accident or other causes,2018,0,0
Europe,Eastern Europe,Czechia,Mortality: Death by accident or other causes,2018,0,0
Europe,Eastern Europe,Hungary,Mortality: Death by accident or other causes,2018,0,0
Europe,Eastern Europe,Poland,Mortality: Death by accident or other causes,2018,9,12.359581422
Europe,Eastern Europe,Republic of Moldova,Mortality: Death by accident or other causes,2018,0,0
Europe,Eastern Europe,Russian Federation,Mortality: Death by accident or other causes,2018,174,30.896751579
Europe,Eastern Europe,Slovakia,Mortality: Death by accident or other causes,2018,0,0
Europe,Northern Europe,Finland,Mortality: Death by accident or other causes,2018,0,0
Europe,Northern Europe,Iceland,Mortality: Death by accident or other causes,2018,0,0
Europe,Northern Europe,Latvia,Mortality: Death by accident or other causes,2018,3,85.178875639
Europe,Northern Europe,Lithuania,Mortality: Death by accident or other causes,2018,0,0
Europe,Northern Europe,Sweden,Mortality: Death by accident or other causes,2018,0,0
Europe,Northern Europe,United Kingdom (England and Wales),Mortality: Death by accident or other causes,2018,67,81.803086540
Europe,Southern Europe,Albania,Mortality: Death by accident or other causes,2018,0,0
Europe,Southern Europe,Greece,Mortality: Death by accident or other causes,2018,11,103.247606533
Europe,Southern Europe,Montenegro,Mortality: Death by accident or other causes,2018,0,0
Europe,Southern Europe,Serbia,Mortality: Death by accident or other causes,2018,6,55.192714562
Europe,Southern Europe,Slovenia,Mortality: Death by accident or other causes,2018,0,0
Europe,Southern Europe,Spain,Mortality: Death by accident or other causes,2018,66,112.086680366
Europe,Western Europe,Liechtenstein,Mortality: Death by accident or other causes,2018,0,0
Europe,Western Europe,Luxembourg,Mortality: Death by accident or other causes,2018,1,153.846153846
Europe,Eastern Europe,Poland,Mortality: Death due to natural causes,2013,80,99.794174515
Europe,Northern Europe,Denmark,Mortality: Death due to natural causes,2013,2,48.887802493
Europe,Northern Europe,Lithuania,Mortality: Death due to natural causes,2013,34,367.130979376
Europe,Northern Europe,Sweden,Mortality: Death due to natural causes,2013,7,122.313471955
Europe,Southern Europe,Portugal,Mortality: Death due to natural causes,2013,49,337.117303062
Europe,Southern Europe,Serbia,Mortality: Death due to natural causes,2013,55,548.300269166
Europe,Western Europe,Switzerland,Mortality: Death due to natural causes,2013,8,120.590895387
Europe,Eastern Europe,Poland,Mortality: Death due to natural causes,2014,75,94.523914550
Europe,Northern Europe,Denmark,Mortality: Death due to natural causes,2014,2,55.819145967
Europe,Northern Europe,Lithuania,Mortality: Death due to natural causes,2014,31,358.962482631
Europe,Northern Europe,Sweden,Mortality: Death due to natural causes,2014,8,137.764766661
Europe,Southern Europe,Portugal,Mortality: Death due to natural causes,2014,51,359.205521904
Europe,Southern Europe,Serbia,Mortality: Death due to natural causes,2014,34,330.482115086
Europe,Western Europe,Switzerland,Mortality: Death due to natural causes,2014,6,92.038656236
Europe,Eastern Europe,Bulgaria,Mortality: Death due to natural causes,2015,36,485.961123110
Europe,Eastern Europe,Czechia,Mortality: Death due to natural causes,2015,30,143.774561488
Europe,Eastern Europe,Poland,Mortality: Death due to natural causes,2015,79,108.673223743
Europe,Eastern Europe,Republic of Moldova,Mortality: Death due to natural causes,2015,44,546.515960750
Europe,Eastern Europe,Romania,Mortality: Death due to natural causes,2015,101,356.462200889
Europe,Eastern Europe,Russian Federation,Mortality: Death due to natural causes,2015,3230,499.934219182
Europe,Northern Europe,Denmark,Mortality: Death due to natural causes,2015,2,62.441461130
Europe,Northern Europe,Lithuania,Mortality: Death due to natural causes,2015,28,380.693405846
Europe,Northern Europe,Sweden,Mortality: Death due to natural causes,2015,4,70.286417150
Europe,Southern Europe,Albania,Mortality: Death due to natural causes,2015,9,150.476508945
Europe,Southern Europe,Greece,Mortality: Death due to natural causes,2015,41,426.594527104
Europe,Southern Europe,Portugal,Mortality: Death due to natural causes,2015,54,375.704445836
Europe,Southern Europe,Serbia,Mortality: Death due to natural causes,2015,49,486.883942766
Europe,Southern Europe,Spain,Mortality: Death due to natural causes,2015,94,152.562729250
Europe,Western Europe,Austria,Mortality: Death due to natural causes,2015,28,
Europe,Western Europe,Switzerland,Mortality: Death due to natural causes,2015,14,215.450907972
Europe,Eastern Europe,Bulgaria,Mortality: Death due to natural causes,2016,45,612.661674609
Europe,Eastern Europe,Czechia,Mortality: Death due to natural causes,2016,29,128.997820382
Europe,Eastern Europe,Hungary,Mortality: Death due to natural causes,2016,53,300.147242043
Europe,Eastern Europe,Poland,Mortality: Death due to natural causes,2016,93,128.792809761
Europe,Eastern Europe,Republic of Moldova,Mortality: Death due to natural causes,2016,48,619.354838710
Europe,Eastern Europe,Russian Federation,Mortality: Death due to natural causes,2016,2805,445.128579476
Europe,Eastern Europe,Slovakia,Mortality: Death due to natural causes,2016,24,240.120060030
Europe,Northern Europe,Denmark,Mortality: Death due to natural causes,2016,3,88.028169014
Europe,Northern Europe,Latvia,Mortality: Death due to natural causes,2016,12,282.818760311
Europe,Northern Europe,Lithuania,Mortality: Death due to natural causes,2016,23,337.490829054
Europe,Northern Europe,Sweden,Mortality: Death due to natural causes,2016,7,123.718628491
Europe,Northern Europe,United Kingdom (England and Wales),Mortality: Death due to natural causes,2016,207,247.595808813
Europe,Southern Europe,Albania,Mortality: Death due to natural causes,2016,16,265.295970817
Europe,Southern Europe,Bosnia and Herzegovina,Mortality: Death due to natural causes,2016,6,211.864406780
Europe,Southern Europe,Greece,Mortality: Death due to natural causes,2016,38,397.489539749
Europe,Southern Europe,Italy,Mortality: Death due to natural causes,2016,64,114.330629890
Europe,Southern Europe,Kosovo under UNSCR 1244,Mortality: Death due to natural causes,2016,3,182.038834951
Europe,Southern Europe,Montenegro,Mortality: Death due to natural causes,2016,5,445.235975067
Europe,Southern Europe,Portugal,Mortality: Death due to natural causes,2016,59,423.941941510
Europe,Southern Europe,Serbia,Mortality: Death due to natural causes,2016,35,327.961019490
Europe,Southern Europe,Slovenia,Mortality: Death due to natural causes,2016,2,152.905198777
Europe,Southern Europe,Spain,Mortality: Death due to natural causes,2016,92,154.390911074
Europe,Western Europe,Austria,Mortality: Death due to natural causes,2016,30,348.068221371
Europe,Western Europe,Liechtenstein,Mortality: Death due to natural causes,2016,0,0
Europe,Western Europe,Luxembourg,Mortality: Death due to natural causes,2016,2,276.243093923
Europe,Western Europe,Monaco,Mortality: Death due to natural causes,2016,0,0
Europe,Western Europe,Switzerland,Mortality: Death due to natural causes,2016,12,184.416781927
Europe,Eastern Europe,Bulgaria,Mortality: Death due to natural causes,2017,31,443.617630223
Europe,Eastern Europe,Czechia,Mortality: Death due to natural causes,2017,27,121.846653730
Europe,Eastern Europe,Hungary,Mortality: Death due to natural causes,2017,70,403.621057487
Europe,Eastern Europe,Republic of Moldova,Mortality: Death due to natural causes,2017,39,511.073253833
Europe,Eastern Europe,Romania,Mortality: Death due to natural causes,2017,80,341.151385928
Europe,Eastern Europe,Russian Federation,Mortality: Death due to natural causes,2017,2519,418.316239770
Europe,Eastern Europe,Slovakia,Mortality: Death due to natural causes,2017,19,189.469485441
Europe,Northern Europe,Denmark,Mortality: Death due to natural causes,2017,5,146.284376829
Europe,Northern Europe,Finland,Mortality: Death due to natural causes,2017,0,0
Europe,Northern Europe,Latvia,Mortality: Death due to natural causes,2017,8,212.483399734
Europe,Northern Europe,Lithuania,Mortality: Death due to natural causes,2017,27,409.152901955
Europe,Northern Europe,Sweden,Mortality: Death due to natural causes,2017,7,122.527568703
Europe,Northern Europe,United Kingdom (England and Wales),Mortality: Death due to natural causes,2017,191,226.193436838
Europe,Southern Europe,Albania,Mortality: Death due to natural causes,2017,17,299.612266479
Europe,Southern Europe,Croatia,Mortality: Death due to natural causes,2017,14,438.871473354
Europe,Southern Europe,Greece,Mortality: Death due to natural causes,2017,32,319.648386775
Europe,Southern Europe,Italy,Mortality: Death due to natural causes,2017,78,132.118296690
Europe,Southern Europe,Kosovo under UNSCR 1244,Mortality: Death due to natural causes,2017,5,292.568753657
Europe,Southern Europe,Portugal,Mortality: Death due to natural causes,2017,54,397.438728196
Europe,Southern Europe,Serbia,Mortality: Death due to natural causes,2017,46,425.650041640
Europe,Southern Europe,Slovenia,Mortality: Death due to natural causes,2017,3,227.963525836
Europe,Southern Europe,Spain,Mortality: Death due to natural causes,2017,89,151.324514571
Europe,Western Europe,Austria,Mortality: Death due to natural causes,2017,21,237.234523272
Europe,Western Europe,Liechtenstein,Mortality: Death due to natural causes,2017,0,0
Europe,Western Europe,Luxembourg,Mortality: Death due to natural causes,2017,2,292.397660819
Europe,Western Europe,Switzerland,Mortality: Death due to natural causes,2017,11,167.580743449
Europe,Eastern Europe,Bulgaria,Mortality: Death due to natural causes,2018,29,436.024657946
Europe,Eastern Europe,Czechia,Mortality: Death due to natural causes,2018,27,125.133243732
Europe,Eastern Europe,Hungary,Mortality: Death due to natural causes,2018,65,376.789751319
Europe,Eastern Europe,Poland,Mortality: Death due to natural causes,2018,135,185.393721333
Europe,Eastern Europe,Republic of Moldova,Mortality: Death due to natural causes,2018,22,314.915545376
Europe,Eastern Europe,Romania,Mortality: Death due to natural causes,2018,92,442.477876106
Europe,Eastern Europe,Russian Federation,Mortality: Death due to natural causes,2018,2268,402.723175760
Europe,Eastern Europe,Slovakia,Mortality: Death due to natural causes,2018,12,116.572760832
Europe,Northern Europe,Denmark,Mortality: Death due to natural causes,2018,3,82.530949106
Europe,Northern Europe,Estonia,Mortality: Death due to natural causes,2018,4,154.798761610
Europe,Northern Europe,Finland,Mortality: Death due to natural causes,2018,1,33.829499323
Europe,Northern Europe,Latvia,Mortality: Death due to natural causes,2018,19,539.466212379
Europe,Northern Europe,Lithuania,Mortality: Death due to natural causes,2018,25,385.505011565
Europe,Northern Europe,Sweden,Mortality: Death due to natural causes,2018,12,196.270853778
Europe,Northern Europe,United Kingdom (England and Wales),Mortality: Death due to natural causes,2018,162,197.792537605
Europe,Southern Europe,Albania,Mortality: Death due to natural causes,2018,23,432.656132430
Europe,Southern Europe,Croatia,Mortality: Death due to natural causes,2018,15,466.272925085
Europe,Southern Europe,Greece,Mortality: Death due to natural causes,2018,49,459.921156373
Europe,Southern Europe,Italy,Mortality: Death due to natural causes,2018,100,163.583124765
Europe,Southern Europe,Kosovo under UNSCR 1244,Mortality: Death due to natural causes,2018,2,127.632418634
Europe,Southern Europe,Montenegro,Mortality: Death due to natural causes,2018,3,266.666666667
Europe,Southern Europe,Portugal,Mortality: Death due to natural causes,2018,43,330.235772982
Europe,Southern Europe,Serbia,Mortality: Death due to natural causes,2018,48,441.541716493
Europe,Southern Europe,Slovenia,Mortality: Death due to natural causes,2018,2,148.588410104
Europe,Southern Europe,Spain,Mortality: Death due to natural causes,2018,110,186.811133944
Europe,Western Europe,Austria,Mortality: Death due to natural causes,2018,32,349.230601331
Europe,Western Europe,Liechtenstein,Mortality: Death due to natural causes,2018,0,0
Europe,Western Europe,Luxembourg,Mortality: Death due to natural causes,2018,1,153.846153846
Europe,Western Europe,Switzerland,Mortality: Death due to natural causes,2018,6,90.881551045
Europe,Southern Europe,Andorra,Mortality: Total deaths,2010,0,0
Europe,Southern Europe,Andorra,Mortality: Total deaths,2011,0,0
Europe,Southern Europe,Andorra,Mortality: Total deaths,2012,1,2777.777777778
Europe,Southern Europe,Andorra,Mortality: Deaths due to external causes,2010,0,0
Europe,Southern Europe,Andorra,Mortality: Deaths due to external causes,2011,0,0
Europe,Southern Europe,Andorra,Mortality: Deaths due to external causes,2012,0,0
Europe,Southern Europe,Andorra,Mortality: Death by intentional homicide,2010,0,0
Europe,Southern Europe,Andorra,Mortality: Death by intentional homicide,2011,0,0
Europe,Southern Europe,Andorra,Mortality: Death by intentional homicide,2012,0,0
Europe,Southern Europe,Andorra,Mortality: Death by suicide,2010,0,0
Europe,Southern Europe,Andorra,Mortality: Death by suicide,2011,0,0
Europe,Southern Europe,Andorra,Mortality: Death by suicide,2012,1,2777.777777778
Europe,Western Europe,Austria,Mortality: Total deaths,2010,35,397.140587768
Europe,Western Europe,Austria,Mortality: Total deaths,2011,37,413.223140496
Europe,Western Europe,Austria,Mortality: Total deaths,2012,33,374.787052811
Europe,Eastern Europe,Bulgaria,Mortality: Total deaths,2010,46,490.457404841
Europe,Eastern Europe,Bulgaria,Mortality: Total deaths,2011,50,505.816894284
Europe,Eastern Europe,Bulgaria,Mortality: Total deaths,2012,52,547.772042558
Europe,Eastern Europe,Bulgaria,Mortality: Death by suicide,2010,6,63.972704979
Europe,Eastern Europe,Bulgaria,Mortality: Death by suicide,2011,4,40.465351543
Europe,Eastern Europe,Bulgaria,Mortality: Death by suicide,2012,6,63.204466449
Europe,Southern Europe,Croatia,Mortality: Total deaths,2010,12,232.333010649
Europe,Southern Europe,Croatia,Mortality: Total deaths,2011,13,256.714060032
Europe,Southern Europe,Croatia,Mortality: Total deaths,2012,13,274.203754482
Europe,Southern Europe,Croatia,Mortality: Death by suicide,2010,1,19.361084221
Europe,Southern Europe,Croatia,Mortality: Death by suicide,2011,2,39.494470774
Europe,Eastern Europe,Czechia,Mortality: Total deaths,2010,35,159.817351598
Europe,Eastern Europe,Czechia,Mortality: Total deaths,2011,31,133.793698748
Europe,Eastern Europe,Czechia,Mortality: Total deaths,2012,38,167.814873697
Europe,Eastern Europe,Czechia,Mortality: Deaths due to external causes,2010,46,210.045662100
Europe,Eastern Europe,Czechia,Mortality: Deaths due to external causes,2011,40,172.637030643
Europe,Eastern Europe,Czechia,Mortality: Deaths due to external causes,2012,53,234.057586999
Europe,Eastern Europe,Czechia,Mortality: Death by suicide,2010,11,50.228310502
Europe,Eastern Europe,Czechia,Mortality: Death by suicide,2011,9,38.843331895
Europe,Eastern Europe,Czechia,Mortality: Death by suicide,2012,15,66.242713302
Europe,Northern Europe,Denmark,Mortality: Total deaths,2010,11,278.904665314
Europe,Northern Europe,Denmark,Mortality: Total deaths,2011,13,329.364073980
Europe,Northern Europe,Denmark,Mortality: Death by intentional homicide,2010,0,0
Europe,Northern Europe,Denmark,Mortality: Death by intentional homicide,2011,0,0
Europe,Northern Europe,Denmark,Mortality: Death by intentional homicide,2012,0,0
Europe,Northern Europe,Denmark,Mortality: Death by suicide,2010,2,50.709939148
Europe,Northern Europe,Denmark,Mortality: Death by suicide,2011,5,126.678489992
Europe,Northern Europe,Estonia,Mortality: Total deaths,2010,6,176.834659593
Europe,Northern Europe,Estonia,Mortality: Total deaths,2011,9,264.705882353
Europe,Northern Europe,Estonia,Mortality: Total deaths,2012,5,152.160681680
Europe,Northern Europe,Finland,Mortality: Total deaths,2010,6,178.359096314
Europe,Northern Europe,Finland,Mortality: Total deaths,2011,8,244.798041616
Europe,Northern Europe,Finland,Mortality: Total deaths,2012,4,120.992135511
Europe,Northern Europe,Finland,Mortality: Deaths due to external causes,2010,4,118.906064209
Europe,Northern Europe,Finland,Mortality: Deaths due to external causes,2011,6,183.598531212
Europe,Northern Europe,Finland,Mortality: Deaths due to external causes,2012,3,90.744101633
Europe,Northern Europe,Finland,Mortality: Death by suicide,2010,4,118.906064209
Europe,Northern Europe,Finland,Mortality: Death by suicide,2011,6,183.598531212
Europe,Northern Europe,Finland,Mortality: Death by suicide,2012,2,60.496067756
Europe,Eastern Europe,Hungary,Mortality: Total deaths,2010,51,312.346888780
Europe,Eastern Europe,Hungary,Mortality: Total deaths,2011,40,232.423009878
Europe,Eastern Europe,Hungary,Mortality: Total deaths,2012,54,314.337272251
Europe,Eastern Europe,Hungary,Mortality: Death by intentional homicide,2010,1,6.124448800
Europe,Eastern Europe,Hungary,Mortality: Death by intentional homicide,2011,2,11.621150494
Europe,Eastern Europe,Hungary,Mortality: Death by intentional homicide,2012,0,0
Europe,Eastern Europe,Hungary,Mortality: Death by suicide,2010,7,42.871141597
Europe,Eastern Europe,Hungary,Mortality: Death by suicide,2011,9,52.295177223
Europe,Eastern Europe,Hungary,Mortality: Death by suicide,2012,8,46.568484778
Europe,Northern Europe,Ireland,Mortality: Total deaths,2010,11,254.747568319
Europe,Northern Europe,Ireland,Mortality: Total deaths,2011,6,142.314990512
Europe,Northern Europe,Ireland,Mortality: Total deaths,2012,5,116.631677164
Europe,Northern Europe,Ireland,Mortality: Deaths due to external causes,2010,6,138.953219083
Europe,Northern Europe,Ireland,Mortality: Deaths due to external causes,2011,4,94.876660342
Europe,Northern Europe,Ireland,Mortality: Deaths due to external causes,2012,3,69.979006298
Europe,Northern Europe,Ireland,Mortality: Death by intentional homicide,2010,0,0
Europe,Northern Europe,Ireland,Mortality: Death by intentional homicide,2011,0,0
Europe,Northern Europe,Ireland,Mortality: Death by intentional homicide,2012,0,0
Europe,Northern Europe,Ireland,Mortality: Death by suicide,2010,3,69.476609541
Europe,Northern Europe,Ireland,Mortality: Death by suicide,2011,0,0
Europe,Northern Europe,Ireland,Mortality: Death by suicide,2012,1,23.326335433
Europe,Southern Europe,Italy,Mortality: Total deaths,2010,163,235.334882982
Europe,Southern Europe,Italy,Mortality: Total deaths,2011,165,241.492864984
Europe,Southern Europe,Italy,Mortality: Total deaths,2012,153,228.011087598
Europe,Southern Europe,Italy,Mortality: Death by intentional homicide,2010,0,0
Europe,Southern Europe,Italy,Mortality: Death by intentional homicide,2011,0,0
Europe,Southern Europe,Italy,Mortality: Death by intentional homicide,2012,0,0
Europe,Southern Europe,Italy,Mortality: Death by suicide,2010,55,79.407475853
Europe,Southern Europe,Italy,Mortality: Death by suicide,2011,63,92.206366630
Europe,Southern Europe,Italy,Mortality: Death by suicide,2012,56,83.455038598
Europe,Northern Europe,Latvia,Mortality: Total deaths,2010,20,294.985250737
Europe,Northern Europe,Latvia,Mortality: Total deaths,2011,27,411.522633745
Europe,Northern Europe,Latvia,Mortality: Total deaths,2012,30,490.436488475
Europe,Northern Europe,Latvia,Mortality: Deaths due to external causes,2010,4,58.997050147
Europe,Northern Europe,Latvia,Mortality: Deaths due to external causes,2011,9,137.174211248
Europe,Northern Europe,Latvia,Mortality: Deaths due to external causes,2012,11,179.826712441
Europe,Northern Europe,Latvia,Mortality: Death by intentional homicide,2010,0,0
Europe,Northern Europe,Latvia,Mortality: Death by intentional homicide,2011,0,0
Europe,Northern Europe,Latvia,Mortality: Death by intentional homicide,2012,0,0
Europe,Northern Europe,Latvia,Mortality: Death by suicide,2010,3,44.247787611
Europe,Northern Europe,Latvia,Mortality: Death by suicide,2011,8,121.932632221
Europe,Northern Europe,Latvia,Mortality: Death by suicide,2012,11,179.826712441
Europe,Western Europe,Liechtenstein,Mortality: Total deaths,2010,0,0
Europe,Western Europe,Liechtenstein,Mortality: Total deaths,2011,0,0
Europe,Western Europe,Liechtenstein,Mortality: Deaths due to external causes,2010,0,0
Europe,Western Europe,Liechtenstein,Mortality: Deaths due to external causes,2011,0,0
Europe,Western Europe,Liechtenstein,Mortality: Death by intentional homicide,2010,0,0
Europe,Western Europe,Liechtenstein,Mortality: Death by intentional homicide,2011,0,0
Europe,Western Europe,Liechtenstein,Mortality: Death by suicide,2010,0,0
Europe,Western Europe,Liechtenstein,Mortality: Death by suicide,2011,0,0
Europe,Northern Europe,Lithuania,Mortality: Total deaths,2010,25,273.552905132
Europe,Northern Europe,Lithuania,Mortality: Total deaths,2011,32,322.580645161
Europe,Northern Europe,Lithuania,Mortality: Total deaths,2012,35,359.749203412
Europe,Northern Europe,Lithuania,Mortality: Deaths due to external causes,2010,11,120.363278258
Europe,Northern Europe,Lithuania,Mortality: Deaths due to external causes,2011,10,100.806451613
Europe,Northern Europe,Lithuania,Mortality: Death by intentional homicide,2010,3,32.826348616
Europe,Northern Europe,Lithuania,Mortality: Death by intentional homicide,2011,0,0
Europe,Northern Europe,Lithuania,Mortality: Death by intentional homicide,2012,2,20.557097338
Europe,Northern Europe,Lithuania,Mortality: Death by suicide,2010,8,87.536929642
Europe,Northern Europe,Lithuania,Mortality: Death by suicide,2011,11,110.887096774
Europe,Northern Europe,Lithuania,Mortality: Death by suicide,2012,5,51.392743345
Europe,Southern Europe,Malta,Mortality: Total deaths,2010,1,171.232876712
Europe,Southern Europe,Malta,Mortality: Total deaths,2011,1,171.232876712
Europe,Southern Europe,Malta,Mortality: Total deaths,2012,1,170.940170940
Europe,Western Europe,Monaco,Mortality: Total deaths,2010,0,0
Europe,Western Europe,Monaco,Mortality: Total deaths,2011,0,0
Europe,Western Europe,Monaco,Mortality: Total deaths,2012,0,0
Europe,Western Europe,Monaco,Mortality: Deaths due to external causes,2010,0,0
Europe,Western Europe,Monaco,Mortality: Deaths due to external causes,2011,0,0
Europe,Western Europe,Monaco,Mortality: Deaths due to external causes,2012,0,0
Europe,Western Europe,Monaco,Mortality: Death by intentional homicide,2010,0,0
Europe,Western Europe,Monaco,Mortality: Death by intentional homicide,2011,0,0
Europe,Western Europe,Monaco,Mortality: Death by intentional homicide,2012,0,0
Europe,Western Europe,Monaco,Mortality: Death by suicide,2010,0,0
Europe,Western Europe,Monaco,Mortality: Death by suicide,2011,0,0
Europe,Western Europe,Monaco,Mortality: Death by suicide,2012,0,0
Europe,Western Europe,Netherlands,Mortality: Death by suicide,2010,21,146.158129176
Europe,Western Europe,Netherlands,Mortality: Death by suicide,2011,17,121.698045673
Europe,Northern Europe,Norway,Mortality: Total deaths,2010,3,84.175084175
Europe,Northern Europe,Norway,Mortality: Total deaths,2011,6,155.199172271
Europe,Northern Europe,Norway,Mortality: Total deaths,2012,6,148.075024679
Europe,Northern Europe,Norway,Mortality: Deaths due to external causes,2010,2,56.116722783
Europe,Northern Europe,Norway,Mortality: Deaths due to external causes,2011,4,103.466114847
Europe,Northern Europe,Norway,Mortality: Deaths due to external causes,2012,5,123.395853899
Europe,Northern Europe,Norway,Mortality: Death by intentional homicide,2010,0,0
Europe,Northern Europe,Norway,Mortality: Death by intentional homicide,2011,0,0
Europe,Northern Europe,Norway,Mortality: Death by intentional homicide,2012,0,0
Europe,Northern Europe,Norway,Mortality: Death by suicide,2010,2,56.116722783
Europe,Northern Europe,Norway,Mortality: Death by suicide,2011,4,103.466114847
Europe,Northern Europe,Norway,Mortality: Death by suicide,2012,5,123.395853899
Europe,Eastern Europe,Poland,Mortality: Total deaths,2010,135,163.890642451
Europe,Eastern Europe,Poland,Mortality: Total deaths,2011,127,153.322387483
Europe,Eastern Europe,Poland,Mortality: Total deaths,2012,107,125.206239249
Europe,Eastern Europe,Poland,Mortality: Deaths due to external causes,2010,44,53.416209392
Europe,Eastern Europe,Poland,Mortality: Deaths due to external causes,2011,25,30.181572339
Europe,Eastern Europe,Poland,Mortality: Deaths due to external causes,2012,18,21.062731836
Europe,Eastern Europe,Poland,Mortality: Death by suicide,2010,34,41.276161803
Europe,Eastern Europe,Poland,Mortality: Death by suicide,2011,22,26.559783658
Europe,Eastern Europe,Poland,Mortality: Death by suicide,2012,18,21.062731836
